Timestamp,What name do you wish to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon) ,What are your main areas of focus for your journalism? ,Where do you publish your work?,Other info for short self-description 
11/5/2022 4:00:29,Dell Cameron,@dell@journa.host,@dellcam,Privacy and Security,Gizmodo,"Senior Reporter, Gizmodo"

11/5/2022 4:06:53,Will Oremus,@willoremus@mastodon.social,@WillOremus,Technology,Washington Post,writing about tech and its discontents for the @washingtonpost . formerly @ozm  (RIP) & @slate  

11/5/2022 4:08:46,Jeff Jarvis,@jeffjarvis@mastodon.social,@jeffjarvis,Technology,,"Journalism prof at CUNY's Newmark School. Author of The Gutenberg Parenthesis, upcoming."

11/5/2022 6:02:55,Karlin Lillington,@klillington@mastodon.ie,@klillington,"technology, digital rights, privacy and data protection, computing history, human rights etc","Irish Times (in past, the Guardian, Wired.com, Salon.com, man others)",Writing technology-focused journalism for 25 years. Investigative work provided key evidence that led to the invalidation of the EU Data Retention Directive by the European Court of Justice (Digital Rights Ireland case). 

11/5/2022 6:07:21,Marcy Wheeler,@emptywheel@mastodon.social,emptywheel,"civil liberties, national security, US legal cases",emptywheel.net,

11/5/2022 6:33:33,Neil Michael,@anewshack@mastodon.ie ,@anewshack,News,Irish Examiner,

11/5/2022 6:35:30,Sadhbh 'Shea,SadhbhOS@mastodon.ie,@SadhbhOS,Professional cycling,VeloNews.com,I have worked as a cycling journalist for the last 10 years. I've also spent some time working in local journalism at the BBC.

11/5/2022 6:56:50,Glyn Moody,@glynmoody@mastodon.social,@glynmoody,"openness, copyright, privacy and digital rights. ","https://walledculture.org/, https://www.techdirt.com/,","author of Rebel Code, and Walled Culture books"

11/5/2022 6:58:02,Melanie Sill,@melaniesill@mastodon.social,@melaniesill,"Local news, journalism + democracy, North Carolina news",Freelance,"Former top editor/news exec, N&O, KPCC, SacBee"

11/5/2022 7:27:37,Chris Horn,@chrisjhorn@mastodon.ie,@chrisjhorn,Innovation and Tech Startups,The Irish Times,https://chrisjhorn.wordpress.com/about/

11/5/2022 7:30:02,Michelle R. Smith,@mrsmith@mastodon.online,MRSmithAP,Investigations,The Associated Press,

11/5/2022 7:38:58,Joanne Stocker-Kelly,@joannekelly@mastodon.online,@joanne_stocker,"Open-source, video verification, visual investigations ",Storyful,

11/5/2022 8:04:45,Jessica Calarco,@jessicacalarco@mastodon.social,@JessicaCalarco,Education; families; inequality and social policy; health; Covid ,"Freelance, including the New York Times, the Washington Post, the Atlantic, and others","I'm a Sociology Professor, but I also write about my own research and others' for a range of news outlets "

11/5/2022 8:51:12,Sara Luterman,@slooterman@masthead.social,@slooterman,"Caregiving, disability, aging",I am currently a staff reporter at The 19th. ,Disabled reporter reporting on disability and the systems around it. 

11/5/2022 9:03:44,Joshua Wood,@wood@pdx.social,@altjoshwood,"Photojournalism, politics",,

11/5/2022 9:27:40,Tina M Casey,@Casey@masthead.social,@TinaMCasey,"Clean Tech, Politics/Policy, ESG, Civil Rights",cleantechnica.com  triplepundit.com ,Covering the politics of clean tech since 2009.

11/5/2022 9:48:09,Sharon Machlis,@smach@fosstodon.org,@sharon000,"R, Quarto, and other tools for data analysis","InfoWorld, Computerworld, CRC Press ",Director of Editorial Data & Analytics at Foundry (an IDG company). Author of Practical R for Mass Communication & Journalism.

11/5/2022 11:03:17,George Musser,@gmusser@mastodon.social,@gmusser,Science,"Scientific American, Quanta, and other magazines",

11/5/2022 12:12:17,Will Knight,willknight@mastodon.social,willknight,Technology,WIRED,"Senior editor covering AI and related stuff like chips, defense, geopolitics."

11/5/2022 12:21:01,Sarah Posner,@sarahposner@mastodon.social,@sarahposner,"Religious right, Christian nationalism, right-wing extremism, US politics","TPM, Insider, The Nation, The New Republic, Politico, Type Investigations, many others ","Author of Unholy: How White Christian Nationalists Powered the Trump Presidency, and the Devastating Legacy They Left Behind"

11/5/2022 12:25:17,Zach Everson,@z_everson@journa.host,z_everson,Money and politics in the US,Forbes.com,"Staff writer reporting on money and politics at Forbes (subscribe!) â¢ Staked out Trumpâs DC hotel for four years at 1100 Pennsylvania â¢ Tip? zeverson@forbes.com, Signal/mobile 202.804.2744 "

11/5/2022 12:54:30,Dell Cameron,dell@mastodon.lol,dellcam,Privacy and tech policy,Gizmodo,

11/5/2022 13:41:56,Charlie Savage NYT,@charlie_savage@noc.social,@charlie_savage,National Security and Law,New York Times,

11/5/2022 14:28:37,Tom Schaffer,@schaffertom@mastodon.social,@schaffertom,"Politics, media, football","Moment.at, ballverliebt.eu","Editor in chief, journalist, blogger, podcaster from Vienna, Austria."

11/5/2022 14:30:08,Stephen Wentzell,@stephenwentzell@journa.host,@StephenWentzell,"Federal politics, book reviews","CTV News Atlantic, rabble.ca, The Blueprint",

11/5/2022 14:31:10,Armin Himmelrath,@ahimmelrath@nrw.social ,@ahimmelrath,"Schools, higher education, education politics",âDer Spiegelâ and several radiostations ,

11/5/2022 14:31:11,Olan McGowan ,@olan,@olanmcgowan,"Arts, culture, current affairs, politics, film, music",RTE Radio Ireland,

11/5/2022 14:37:10,Hanno BÃ¶ck,@hanno@mastodon.social,hanno,"IT Security, Climate and Energy","Golem.de, freelancer",

11/5/2022 14:41:22,IrÃ¨ne Unholz,@cestpasirene@chaos.social,@cestpasirene,"Art, Culture, Media","Freelance, mainly Artlog.net/Kunstbulletin, WOZ (Die Wochenzeitung)",

11/5/2022 14:42:31,Rob Arthur,@rob_arthur@mastodon.social,@No_Little_Plans,"technology, criminal justice, baseball","VICE News, the Ringer, the Atlantic, etc.",freelance data journalist formerly of FiveThirtyEight

11/5/2022 14:48:21,Wendy M. Grossman,@wendyg@mastodon.xyz,wendyg,"computers, freedom, and privacy",https://www.pelicancrossing.net,

11/5/2022 14:52:01,reporterdesk,@reporterdesk@mastodon.online,https://twitter.com/reporterdesk_de?lang=de,,Report Desk.de,

11/5/2022 15:00:31,K`Tetch,@ktetch@mastodon.online,@ktetch,copyright/piracy/p2p some robotics/tech digital rights,"TorrentFreak, techdirt (on occasion)",https://en.wikipedia.org/wiki/Andrew_Norton_(Pirate_Party)

11/5/2022 15:03:33,Russell Merryman,@merryarty,@merryarty,"Digital, solutions journalism, science journalism",Various outlets,"Journalist, editor (ex-BBC/Al Jazeera), academic, future media geek, Yorkshireman, hardline realist, academic, PhD cendidate."

11/5/2022 15:27:53,Ingrid Brodnig,@brodnig@mastodon.social,@brodnig,"Disinformation, hate speech online",Austrian news magazine Profil and books,"I am a journalist and book author from Austria, my work focuses on disinformation and hate speech online "

11/5/2022 15:40:32,Thorin Klosowski,@thorin@mastodon.social,@kingthor,Privacy and security / consumer tech,Wirecutter ,

11/5/2022 15:43:33,Ernie Smith,@ernie@writing.exchange,@ShortFormErnie,"Technology, History, Offbeat",https://tedium.co,"Editor of Tedium, a popular newsletter thatâs been active since 2015. Bylines in Vice, Atlas Obscura, and Input."

11/5/2022 16:50:10,Scott Stedman,ScottMStedman@mastodon.social,@ScottMStedman,"Corruption, financial crime, and foreign election interference.",Forensic News,

11/5/2022 16:56:28,Michelle R. Smith,@mrsmith@journa.host,@MRSmithAP,Investigations,apnews.com,New handle after migrating over to a new instance

11/5/2022 17:04:11,Jonathan M. Katz,@katzonearth@journa.host,@katzonearth ,"Foreign affairs, disaster, politics, conflict, fascism",Everywhere,Hey everybody

11/5/2022 17:05:06,Dean Betx,@deanbetz@mastodon.social,deanbetz,"Media, aerospace",Freelance,"Ex-Microsoft, Hearst, Advance Digital"

11/5/2022 17:11:55,Melissa Davlin ,@Davlin@joura.host,@davlinnews,Idaho politics,Idahoptv.org/idahoreports,

11/5/2022 17:20:12,Parker Molloy,@parker@journa.host,ParkerMolloy,"Media criticism, politics, culture",https://www.readtpa.com,"Author of The Present Age, former Media Matters for America editor-at-large"

11/5/2022 17:20:23,Jeff Brown ,@jeff@newsie.social,@wjeffreybrown,"Media ethics, news startups,",fourthestate.org,

11/5/2022 17:23:53,Nick Schwellenbach,@schwellenbach@journa.host,@schwellenbach,"Federal government corruption, misconduct, abuse of power",Project On Government Oversight,

11/5/2022 17:29:04,Raffaele Angius,@faffa@mastodon.social,faffa42,"Italian investigative journalist on corruption, cyber crimes, State surveillance","IrpiMedia, Wired Italia, Indip","From Sardinia, writes about privacy and state surveillance, criminal organisations in Italy"

11/5/2022 17:31:37,Chris Foreman,RescueReports@journa.host,@RescueReports,Investigation of life-risking rescues through public records & interviews,carnegiehero.org,https://www.carnegiehero.org/chris-foreman-newest-case-investigator/

11/5/2022 17:40:12,R.E. Hawley,@boughofhawley@writing.exchange,@boughsofhawley,,"NYT, The New Yorker, Atlantic, Gawker, Astra, The Point",

11/5/2022 17:40:20,Rehan Hooda,@rehanhooda@mstdn.social,@rehanhooda_tw,"Video games, Computing, Pop Culture",IGN India,

11/5/2022 17:43:44,Sheera Frenkel, @sheeraf@noc.social,@sheeraf,"Tech, tech accountability, misinformation, fringe online movements, and really, any good/interesting stories that should be told.",New York Times,

11/5/2022 17:46:12,Marc Schulman,@marcs@toot.community,@multied,"Israel, Technology","Newsweek, Times of Israel, Historycentral",American born living in Israel on and off for 45 year

11/5/2022 17:50:39,Sergiu Gatlan,@serghei@mastodon.social,@serghei,Cybersecurity / technology,BleepingComputer,

11/5/2022 17:52:32,Melissa Davlin ,@Davlin@journa.host,@Davlinnews,Idaho politics,Idahoptv.org/idahoreports,"Lead producer, host, Idaho Reports"

11/5/2022 18:00:21,Jay Rosen,@jayrosen_nyu@mastodon.social,jayrosen_nyu,Press criticism,pressthink.org ,I teach journalism at NYU

11/5/2022 18:07:46,Joanne McNeil,@jomc@friend.camp,@jomc,"internet, art, culture","Filmmaker magazine, The Nation, Motherboard, New York, etc",author of Lurking https://joannemcneil.com/

11/5/2022 18:08:45,Craig Welch,@craigawelch@mastodon.social,@craigawelch,climate and environment reporting,National Geographic,I'm a senior staff writer. Work: craig.welch@natgeo.com

11/5/2022 18:12:37,Dan van Moll,@danvanmoll@twit.social,@danvanmoll,Current affairs & tech,Seven.One Media Group,"Head Geek, Gamer Dad, Mac Head & Cigar Aficionado"

11/5/2022 18:12:53,Adam Klasfeld,@KlasfeldReports@journa.host,@KlasfeldReports,Legal/Courts beat,lawandcrime.com,Managing editor at Law&Crime 

11/5/2022 18:17:32,Erik Gunn,@erikgunn@mastodon.online,@erikgunn,"Economy, labor/workplace, health policy, Wisconsin government & issues",Wisconsin Examiner (https://wisconsinexaminer.com),"Deputy Editor at the Wisconsin Examiner; the Wisconsin Examiner is part of States Newsroom, nonpartisan nonprofit group of independent news bureaus covering state government across the U.S."

11/5/2022 18:23:25,David Blumenstein,@nakedfella@mastodon.scot,@nakedfella,"Social, finance, opinion",Freelance,"Graphic reportage, aka comics about what's happening. http://www.nakedfella.com/comix"

11/5/2022 18:33:06,Abe Hefter,hefteronthehabs@journa.host,@hefteronthehabs,"sports journalism, broadcast, audio/podcasting",,J-Prof w/three+ decades of sports media (radio) in Canada 

11/5/2022 18:33:40,Molly Jong-Fast,@mollyjongfast@mastodon.lol,@MollyJongFast,,Vanity Fair and Fast Politics,

11/5/2022 18:34:13,Emily Nussbaum,@emilynussbaum@mstdn.social,Emilynussbaum ,TV and pop culture,The New Yorker,

11/5/2022 18:35:49,Adrian Coakley,@AdrianCoakley@mstdn.social,@adriancoakley,Photography and Photojournalism ,National Geographic,Photo Director for National Geographic Books

11/5/2022 18:36:28,Molly Jong-Fast,@mollyjongfast@journa.host,,,Vanity Fair and Fast Politics,

11/5/2022 18:48:56,Alan Kotok,@technewslit@journa.host,@alankotok,"science, technology, business",https://sciencebusiness.technewslit.com/,"reporter, publisher, photographer, entrepreneur"

11/5/2022 19:03:55,Mark Henick,@markhenick@mstdn.social,https://mobile.twitter.com/markhenick,"Mental health, health and science, narrative ","Bylines in USA Today, CNN, CNBC, Chicago Tribune, Toronto Star, Globe and Mail, and others. 200+ on camera segments.","Mental health advocate and media commentator. Bestselling author, So-Called Normal: A Memoir of Family, Depression and Resilience (HarperCollins, 2021)."

11/5/2022 19:04:51,Lila Guterman,@lguterman@mastodon.online,@lilaguterman,science,Science Magazine,"Deputy News Editor, Science Magazine"

11/5/2022 19:10:35,Fatma Edemen,@FatmaE@mstdn.social ,@edemen_,"Culture, film, politics ",Freelance ,Iâm a freelancer from Turkey. Currently focused on my PhD research and publish about cultural field whenever I find the opportunity. L

11/5/2022 19:14:52,Qina Liu ,@qinaliu@mastodon.social,@qinaliu,,,

11/5/2022 19:30:48,James Kanter,@jameskanter@mastodon.green,@jameskanter,European and EU affairs,EU Scream,"Editor @euscreams politics podcast. Priors IHT, NYT, DJ WSJE, Cambodia Daily @"

11/5/2022 19:31:51,Rosa Furneaux,@rosafurneaux@mas.to,@rosafurneaux,"Global health, science, investigations, Covid-19",The Bureau of Investigative Journalism; The Guardian; The Telegraph; The Independent,Global health investigative reporter at The Bureau of Investigative Journalism

11/5/2022 19:35:11,Joyce Vance,Joycevance@mstdn.social,@joycewhitevance,The intersection of legal & political analysis,Joycevance.substack.com,"Former Obama US Atty, MSNBC & NBC legal analyst, Writes Civil Discourse newsletter in Substack, Co-host of #SistersinLaw & Insider Podcasts"

11/5/2022 19:42:56,Emma Best,@NatSecGeek@mastodon.social,@NatSecGeek,"Transparency, leaks, secrecy, national security",Distributed Denial of Secrets,"Published leaks from 50+ countries, FOIA freak"

11/5/2022 19:44:11,Soraya Morvan-Smith,smorvansmith@mastodon.top,@smorvansmith,International news,France 24,24h worldwide news on France 24

11/5/2022 19:47:21,Megan Lavey-Heaton,@savvyliteratr@journa.host,@savvyliterate,"Data journalism, social media, podcast production",PennLive.com/The Patriot-News,"Outside of journalism, I am also a comics creator and do book design."

11/5/2022 19:49:39,Brian PJ Cronin,@brianpjcronin@journa.host,@brianpjcronin,"Climate, nature, outdoor recreation",The Highlands Current (https://highlandscurrent.org/author/bcronin/),Also teach journalism at Marist College 

11/5/2022 20:10:03,Laura Beil,@laurabeil@mastodon.online,@ljbeil,"Medicine, health health policy",Freelance,"Podcasts: Sympathy Pains, Dr Death, Bad Batch, Vaping Fix. Print: ProPublica, NYTimes, Texas Monthly, Science News"

11/5/2022 20:19:56,Drew Hawkins ,@drewhawkins@indieweb.social,@WAdrewhawkins,"Environmental, criminal justice","The Guardian, The Daily Beast",Freelancer 

11/5/2022 20:25:23,Brittany Wong,@brittany@journa.host,@brittanylwong,Lifestyle ,HuffPost ,Senior lifestyle reporter at HuffPost 

11/5/2022 20:32:35,Aaron Derfel,aderfel@mas.to,@Aaron_Derfel,Health and medical matters,Montreal Gazette,My bio: https://www.concordia.ca/artsci/journalism/faculty.html?fpid=aaron-derfel

11/5/2022 20:40:16,Mike Deal,@MikeDeal@mstdn.social,@Mike_Deal_,Daily general newspaper photojournalism,Winnipeg Free Press ,Have been a working photojournalist for over 20 years

11/5/2022 20:41:47,Cory Bergman,corybe@journa.host,corybe,Product,Factal,

11/5/2022 20:51:01,Quinta Jurecic,@qjurecic@mastodon.social,@qjurecic,Law and the rule of law; internet; national security,"Lawfare, The Atlantic",

11/5/2022 20:52:48,Emily Alpert Reyes,Emilyalpertreyes@mas.to,@AlpertReyes,Public health ,The Los Angeles Times,

11/5/2022 21:01:30,Kate McKenna,@kmk@lor.sh ,Katemckenna8,"Canadian politics, Canadian culture, Canadian news, climate change",CBC,

11/5/2022 21:40:49,SylvÃ¨ne Gilchrist,@SylveneG,@Sylvene_G,Investigative ,CBC.ca,

11/5/2022 22:19:43,Joanna Stern,@joannastern@mastodon.world,@joannastern,"Tech journalism, personal tech, latest trends and gadgets ",The Wall Street Journal ,

11/5/2022 22:21:26,Paul Voosen ,@voooos@sciencemastodon.com,@voooos,"Earth, climate, and planetary science ",Science magazine ,

11/5/2022 23:02:19,Ronda Kaysen,@Ronda.kaysen@journa.host,@rondakaysen,Real Estate/ housing / home design trends ,The New York Times ,I am a real estate reporter for The New York Times and co-author of âThe New York Times: Right at Homeâ 

11/5/2022 23:11:35,Elizabeth Yuko,@elizabethics@med-mastodon.com,@elizabethics,Health/medicine (incl. Covid & Long Covid); architecture & design; history; pop culture,"Rolling Stone, CityLab, Architectural Digest, WSJ, NYT",PhD in bioethics

11/5/2022 23:13:56,Amy Harmon,@amy_harmon@sciencemastodon.com ,@amy_harmon,"science, nature, social inequality",New York Times,

11/5/2022 23:19:23,Jared Kaltwasser,@jaredkalt@mastodon.social,@jaredkalr,"Healthcare, business, and journalism",Various places (freelance),

11/5/2022 23:32:01,Jamie Broadnax,@JamieBGN,@jamiebroadnax,Entertainment News / Pop Culture Commentary,blackgirlnerds.com,Founder and CEO of blackgirlnerds.com

11/5/2022 23:34:32,Michael Greshko,@michaelgreshko@mastodon.social,@michaelgreshko,Science,National Geographic ,

11/5/2022 23:49:28,Meredith Schmehl,@MeredithSchmehl@mas.to,@MeredithSchmehl,"Neuroscience, science policy",Freelance,"Freelance, podcasting, blogging"

11/5/2022 23:50:42,Maryn McKenna,@marynmck@mastodon.social,@marynmck,"public health, global health, food policy, epi, ID",WIRED,"senior writer for health, WIRED; science writing professor at Emory"

11/5/2022 23:51:12,Siri Carpenter,@SiriCarpenter@mastodon.online,@SiriCarpenter,"Science, environment, health, technology",The Open Notebook,"Science journalist and co-founder/EIC of The Open Notebook, a nonprofit whose mission is to help journalists covering science develop their skills. Past president of National Association of Science Writers."

11/6/2022 0:00:38,Adam Becker,@freelanceastro@octodon.social,@FreelanceAstro,"Physics, space, quantum, tech","Freelance: NYT, BBC, NPR, SciAm, New Scientist, etc.","Author of WHAT IS REAL? (2018, Basic) and a forthcoming book on science and ideology in Silicon Valley"

11/6/2022 0:11:20,Michelangelo Signorile,@msignorile@mstdn.social,@msignorile,politics,"SiriusXM radio post on SXMProgress, writer, author, various pubs","journalist, radio host, author, substacker"

11/6/2022 0:18:27,David Zipper,@davidzipper@mastodon.social,@davidzipper,"Transportation, technology, and cities","Slate, CityLab, WaPo, Fast Company (freelance)",

11/6/2022 0:21:48,Matthew Moore,@matthewrmoore@journa.host,@matthewrmoore,Radio journalist in Northwest Arkansas,KUAF Public Radio,

11/6/2022 0:27:32,Evan Engel ,@evanengel@mastodon.social,@evanengel,"Tech, media, business, politics",Pivot podcast / NY Mag,

11/6/2022 0:36:12,Tyler Hayes,@tylerh@mastodon.social,@tylerh,Consumer technology; product reviews; service journalism; music streaming,Newsweek,

11/6/2022 0:50:34,Max Eddy,@maxeddy@infosec.exchange,@wmaxeddy,"Infosec, privacy, reviews",PCMAG ,I've been on Mastodon a while so say hi!

11/6/2022 1:09:27,Matt Karolian ,@mkarolian@mastodon.social,@mkarolian,Platforms / business,Boston Globe,

11/6/2022 1:28:14,Jeong Park,https://mas.to/@jeongpark52,jeongpark52,Asian American Community,https://www.latimes.com/people/jeong-park,"I cover Asian American communities for the Los Angeles Times. Former: Sacramento Bee, Orange County Register, Journal and Courier, Daily Bruin. jeong.park@latimes.com"

11/6/2022 1:42:41,Vanessa Franko1,@vanessafranko@mastodon.social,vanessafranko,Entertainment,www.latimes.com,

11/6/2022 1:48:23,Danielle Solzman,@DanielleSATM@mstdn.social,DanielleSATM,Film and TV,"Solzy at the Movies, Below the Line",Transgender film critic

11/6/2022 1:04:35,Violet Blue,@violetblue@mastodon.social,@violetblue,"Security, hacking, privacy, tech equity","Engadget, Popular Science, freelance","Bylines CNET, CBS News, CNN, Financial Times, San Francisco Chronicle, more."

11/6/2022 1:07:09,Kirsten Han,@kixes@kopiti.am,@kixes,"Singapore, politics, democracy, human rights, social issues","Freelance, so lots of places",I'm an independent journalist and activist and I run the newsletter wethecitizens.net

11/6/2022 1:09:59,Jonah Aragon,@jonah@neat.computer,@jonaharagon,"Privacy, security, open-source technology",,

11/6/2022 1:30:08,Andrew Roman ,@haikuhijinks@mas.to,@haikuhijinks,Raleigh / the  and NC statewide news ,WRAL.com newsletters ,"Expect some haiku. Well, expect lots of haiku. You'll get used to it."

11/6/2022 1:37:32,Amy Fallon ,@amyfallon@aus.social,@amyfallon,"Human rights, social justice, culture, travel, lifestyle, Africa, Australia ",Freelance ,

11/6/2022 1:51:54,Matt Potter ,@mattpotter@c.im ,@mattpotter,"Tech, global security, organised crime, geopolitics, culture and world news","Washington Post, BBC, Literary Review, and author of nonfiction books on hacking, cyberwar, arms trade, Russian mafia etc","Journalist, broadcaster & showpony. Author of âOutlaws Inc: Flying with the worldâs most dangerous smugglersâ and Hachetteâs 2023 nonfiction âWe Are All Targets: How a band of renegade hackers invented cyberwar and unleashed an age of global chaosâ. Bit nerdy. â "

11/6/2022 2:02:23,BenoÃ®t Perrier,@botperrier@mamot.fr,@botperrier,"Classical music, jazz, contemporary music, Swiss music scene",RTS Espace 2 (a national radio station in ð¨ð­),"Radio producer, journalist and host in French-speaking Switzerland"

11/6/2022 2:10:05,Michael Alden,@michaelalden@c.im,@michaelaldenfl,Local television news,baynews9.com,Producer at Spectrum Bay News 9

11/6/2022 2:12:38,John W. Little,john@social.blogsofwar.com,@blogsofwar,"The intersection of technology, intelligence, and conflict.",https://blogsofwar.com,"I build and manage private sector intelligence teams focused on disinformation, extremism, and many other threats."

11/6/2022 2:12:46,Tim Carmody,@tcarmody@mastodon.social,tcarmody,"Technology, media, digital commerce, blogging ","Kottke.org, The Amazon Chronicles, Wired, The Verge, The Message",Big redhead with a beard

11/6/2022 2:16:02,Tory Wegerski,@producertory@mas.to,@ProducerTory,"Local news in Pittsburgh and Southwestern PA, politics, hockey",KDKA,Looking for my fellow broadcast TV news journalists #producerprobs

11/6/2022 2:18:51,Michelle Iracheta,cephira@sfba.social,@cephira,"Redwood City community news, main news source for Redwood City ",Redwood City Pulse / rwcpulse.com,Editor at the Pulse. Helped launch the media site in 2021. Former Houston Chronicle reporter

11/6/2022 2:21:34,Kevin Shakir,kevinshakir@mstdn.social,@kevinshakir,"Disinformation, Russia and Ukraine, Internet culture, Danish domestic issues",Danish Broadcasting Corporation / DR - dr.dk,

11/6/2022 2:28:19,Claire Conner,claireconner@mastodon.online,claireconner_,"Politics, economics, global affairs, high school students",The Harvard-Westlake Chronicle (school newspaper),High school journalist in Los Angeles

11/6/2022 2:36:45,Ivo Vegter,@ivovegter@masthead.social,@IvoVegter,"South African politics, economics, policy, opinion",The Daily Friend (https://dailyfriend.co.za/author/ivo/),"Classical liberal. Former technology journalist. Became a full-time opinion writer at Daily Maverick in 2009. In 2020, I joined the South African Institute of Race Relations and its publication, The Daily Friend."

11/6/2022 3:32:18,Gretchen McCulloch ,@gretchenmcc@xoxo.zone,@GretchenAMcC,language and linguistics ,"Wired, NYT, The Toast","Internet linguist, author of Because Internet "

11/6/2022 3:55:31,Rachael Phillips,@rachaelphillips@mas.to,@rachaelphillips,"Lifestyle, travel and tech ","Independent, CreativeBloq, Evening Standard, TechRadar","Iâm a freelance journalist based in South Wales. I write about lifestyle, travel, tech, food & drink and digital culture. "

11/6/2022 3:56:58,Aliide,@aliide@mstdn.social,@Aliide_N,"Russia, Ukraine, Baltics, culture, tech","Vice, The Times of London, RFE/RL",

11/6/2022 4:22:27,Matthew Moore,@matthewrmoore@journa.host,,,Reporter at KUAF Public Radio,

11/6/2022 4:27:59,Martin Clavey,@mart1oeil@piaille.fr,@mart1oeil,"sciences, research policiers, open science, openaccess, computer science, AI",nextinpact.com,I'm also french ð

11/6/2022 4:38:10,Friedrich Moser,@friedrichmoser@mastodon.social,@fmoser0,"documentary films about current affairs, science, technology, history, geopolitics","VoD & tv broadcasters (Netflix, Prime, iTunes, ARTE, ARD, ZDF, YLE, SVT, DR, AJE ...) & theatrical releases","documentary producer & director since 2001, tv journalist 1998-2000, MA contemporary history 1997. Based in Vienna, Austria. www.blueandgreen.info"

11/6/2022 4:44:31,Sandrine Chesnel,@sandrinechesnel@mastodon.social,@schesnel,"Social, political, environmental issues","French newspapers, magazines and news sites : Le Parisien, Le Figaro, Le Canard enchaÃ®nÃ©..",French freelance reporter 

11/6/2022 4:45:27,Kevin Wammer,cliophate@mastodon.spcial,@cliophate,Video Game journalism (former fulltime print journalist),https://overkill.wtf,

11/6/2022 4:53:08,Jared Newman,@newmy@writing.exchange,@OneJaredNewman,"Consumer tech: Advice, reviews, features","PCWorld, Fast Company, TechHive, Cord Cutter Weekly, Advisorator","Freelance tech journalism since 2008, self-hosted newsletters since 2016"

11/6/2022 5:01:31,Lex Weaver,@lexweaver@mstdn.social,@lexwvr,"Boston, Arts & Culture, Food and International news",The World (theworld.org); also FREELANCE,"Currently radio associate producer at The World, but I'm all things Boston!"

