Timestamp,What name do you wish to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),Feel free to add a brief bio,What hashtags (up to 5) best describe the content you post?,
11/8/2022 20:45:36,Delia Milliron,@DeliaMilliron@social.coop,@DeliaMilliron,Chem Eng. Prof. at U Texas at Austin,#nanocrystals #plasmonics #SoftMatter #SmartMaterials ,https://social.coop/@DeliaMilliron

11/8/2022 20:46:21,Elisa Fadda,@elisa@mastodon.world ,@elisaTelisa,"Likes sugars, cats, and fucose, Associate Prof  in Chemistry at Maynooth University, computational biophysicist very much into glycoscience",#glycoscience #structuralglycobiology #biophysics #moleculardynamics #chemistry ,https://mastodon.world/@elisa

11/8/2022 20:50:10,Martin Tiano,@MartinTiano@fediscience.org,@tianochem,,#SciComm #ChemicalEducation #IonicLiquids #OrganicChemistry #Fluorescence,https://fediscience.org/@MartinTiano

11/8/2022 20:50:39,Yolanda Perez,@yolandapereznmr@mstdn.social,@yolandapereznmr,NMR Spectroscopist and Facility Manager ,#NMR #NMRchat #Chemistry #StructuralBiology #Biophysics,https://mstdn.social/@yolandapereznmr

11/8/2022 20:50:53,Martijn Zwijnenburg,@ZwijCompChem@fediscience.org,@ZwijCompChem,Computational Materials Chemist in London @UCL @UCLChemistry,#CompChem #Nano #Polymers #Photocatalysis #HistoryOfScience,https://fediscience.org/@ZwijCompChem

11/8/2022 20:51:53,Chris Oostenbrink,@mms_boku@wien.rocks,@mms_boku,"I am professor for Biomolecular Modeling and Simulation at the University of Natural Resources and Life Sciences in Vienna (BOKU). Our research focuses on molecular simulations, where we try to strike a balance between method development and applications to (bio)molecular systems. Free energies always seem to play a role.",#compchem #MolecularDynamics #FreeEnergy #SoilOrganicMatter #MachineLearning,https://wien.rocks/@mms_boku

11/8/2022 20:53:45,Robert Burrow,@bobburrow@mastodon.social,BobBurrow ,"Professor of Chemistry at the Federal University of Santa Maria, Santa Maria, Brazil. Crystallographer.",#chemtoots,https://mastodon.social/@bobburrow

11/8/2022 20:54:16,Anne Imberty,@imberty@mastodon.online,@AnneImberty,"Structural glycobiology, lectins and other stuff sticking to sugards","#glycotime, #glycoscience #structuralbiology",https://mastodon.online/@imberty

11/8/2022 20:55:00,Tanja Junkers,@polymerreaction@aus.social,@polymerreaction,Polymers! Flow! Automation!,"Chemistry, lgbtqia+, ridiculousness",https://aus.social/@polymerreaction

11/8/2022 20:55:55,@dmonchaud,@dmonchaud@genomic.social,@dmonchaud,Still trying to find some funny ways to spend public money,#chemicalbiology #chemicalgenetics #DNA #RNA #G4,https://genomic.social/@dmonchaud

11/8/2022 20:56:40,Scott Bagley,@BagPhos@mastodon.online,@BagPhos,Organic/medicinal alchemist with >30y in pharma BS chem @BucknellChem @ACSOrganic Program Chair Elect ,#PfizerChemistry #TeamHeptanes #ChemCollabs #TeamORGN #ChemDadJokes,https://mastodon.online/@BagPhos

11/8/2022 20:58:08,Timoer Frelink,@Timoer@mastodon.social,@Tfr68,"PhD in electrochemistry, consider myself a Physical Chemist, working in the analytical instrumentation field",#histstm #histscience #electrochemistry #science,https://mastodon.social/@Timoer

11/8/2022 21:03:26,Nour Tanbouza,@Nour@mastodon.world,@Nour_Tanbouza,Development Editor for #EnvironmentalScience Journals published by the Royal Society of Chemistry,#EnvironmentalScience #GreenChemistry #FlowChemistry,https://mastodon.world/@Nour

11/8/2022 21:04:47,Chris Armstrong,@Rhodium103@Mastodon.social,@DrCDArmstrong,"Teaching focused Lecturer in Physical Chemistry, Hull UK. ",#ChemEd #SoTL #TeachingLabs,https://Mastodon.social/@Rhodium103

11/8/2022 21:04:50,Jesus Angulo,@angulolab@mastodon.online,@Angulo_Lab,,#glycotime #nmr #drugdiscovery ,https://mastodon.online/@angulolab

11/8/2022 21:06:52,FranÃ§ois Lapointe,@flapointe@det.social,@MisteurLapointe,"Research scientist working on nanomaterials, electronics and sensors Â· Fr/En",#chemistry #physics #nano #science #sensors,https://det.social/@flapointe

11/8/2022 21:09:25,Juris Meija,@juris@mas.to,@MeijaJuris,I work to improve chemical measurements and isotope ratio measurements in particular at NRC Canada. I also work in numerous international standard-setting committees including IUPAC.,#chemistry #metrology #isotopes #iupac #PeriodicTable,https://mas.to/@juris

11/8/2022 21:11:31,Egon Willighagen,@egonw@scholar.social,egonwillighagen,,#cheminformatics #bioinformatics #openscience #wikidata #wikipathways,https://scholar.social/@egonw

11/8/2022 21:11:55,Lisa McElwee-White,@McElweeWhite@mastodon.online,@McElweeWhite,,#chemistry #chemtwitter ,https://mastodon.online/@McElweeWhite

11/8/2022 21:14:50,Andrew Boa,@anboa4@mastodon.online,@anboa4,Academic at the University of Hull (UK),"Brexit, UK politics, Higher Ed, France",https://mastodon.online/@anboa4

11/8/2022 21:16:52,Sebastian Pomplun ,@Pomplunlab@mstdn.science,@PomplunSeb,,#drug_discovery #peptides #bioorganic_chemistry #novel_chemical_modalities,https://mstdn.science/@Pomplunlab

11/8/2022 21:19:35,Patrick O'Leary ,@eentjebeen@mastodon.ie,@eentjebeen ,"Organic chemist, asymmetric catalysis now Registrar of national university of Ireland ",,https://mastodon.ie/@eentjebeen

11/8/2022 21:21:20,Jon Agirre,@glycojones@mastodon.world,@glycojones,"Royal Society Olga Kennard research fellow at YSBL, Department of Chemistry, University of York, UK. Working on carbohydrate atomic structure validation, interested in glycans and protein-glycan interactions. ",Glycobiology Crystallography Software Validation Privateer,https://mastodon.world/@glycojones

11/8/2022 21:27:28,Michel Rickhaus,@michelrickhaus@mastodon.online,@michelrickhaus,Synthetic chemist and PI at @UZH_Scienceð¨ð­. We break planarity. We assemble the fragments. Typos my own. he/him Rickhauslab.com,#chemistry #academichatter #randomstuff #visualizations,https://mastodon.online/@michelrickhaus

11/8/2022 21:31:25,Jake Janey,@Phlogiston1@mastodon.social,@Phlogiston1,"Organic chemist (Rvans group) Former process chemist (Merck them BMS) and now Chemistry Product manager at Vertex (IT). Post a lot about biocatalysis, data science, automation, catalysis, IT stuff, toddlers, and dogs.","#biocatalysis, #catalysis, #processchemistry, #automation, #HTE, #chemistswhocook, #ML",https://mastodon.social/@Phlogiston1

11/8/2022 21:37:52,Matthew Fuchter,@FuchterMatt@mstdn.science,@FuchterMatt,Professor of Chemistry at Imperial College London,#chirality #photoswitches #science #chemicalbiology #materials,https://mstdn.science/@FuchterMatt

11/8/2022 21:59:29,John Trant,@trantteam@mstdn.science,@TrantTeam,"Chem on the edge...of Canada @ChemUWindsor! Sens Fan; Married to @Shufflersunite (Twitter); Tweets my own; He/Him/His; Probably writing a grant/emailing; Vaccinated, 5 of X","#ChemTwitter, #CanSci #CanChem, #ShitPost",https://mstdn.science/@trantteam

11/8/2022 22:06:25,Andrew Marsh,@marshgroup@mstdn.science,@marshgroup,I have a training in synthetic chemistry and current interests in virology â¦ and cycling!,"#chemistry #supramolecular #virology #publichealth #cycling (maybe, letâs see)",https://mstdn.science/@marshgroup

11/8/2022 22:07:26,Dr. SÃ©bastien Lapointe ,@slapointechem@mastodon.online,@slapointechem,"Marie-Currie cofund Fellow (EUTOPIA-SIF) in the Chaplin Lab at Warwick University. Alumni of the groups of Julia R. Khusnutdinova (at OIST, Japan) and Viktoria H. Gessner (at RUB, Germany). Canadian and Foodie.",#Chemistry #Gaming #memes #everydaylife,https://mastodon.online/@slapointechem

11/8/2022 22:13:40,Timothy Easun,@TimEasun@mastodon.social ,@TimEasun,"Supramolecular photochemist, time-resolved spectroscopist, MOFist. Now based in Birmingham. Likes cats and puns.",#chemistry #cats #spectroscopy #MOFs #supramolecular ,https://mastodon.social/@TimEasun

11/8/2022 22:14:43,Benjamin Merget,@enrico_pallazzo@astrodon.social,,Computational chemist in agro chem (fungicides) ,#compchem #cheminformatics #medchem #agrochem #astrophotography ,https://astrodon.social/@enrico_pallazzo

11/8/2022 22:14:56,Philip Bulsink,@pbulsink@mastodon.online,@pbulsink,,#RealTimeChem #ChemJobs #CdnChem #AnalChem ,https://mastodon.online/@pbulsink

11/8/2022 22:15:10,Jessica Lamb,@JessicaLamb@qoto.org,@Ewerpointe,"Iâm an Assistant Professor in the Chemistry Department at the University of Minnesota working at the interface of organic, catalysis, and polymer chemistry. ",,https://qoto.org/@JessicaLamb

11/8/2022 22:20:34,Marco Radi,@marcoradi@qoto.org,@marco_radi,medicinali chemist,#chemistry #medicinalchemistry #drugdiscovery #antiviral #multitarget,https://qoto.org/@marcoradi

11/8/2022 22:26:51,Aron Walsh,@lonepair@mstdn.social,@lonepair,,#compchem ,https://mstdn.social/@lonepair

11/8/2022 22:26:54,Scott Hartley,@Hartley@mas.to,@TheHartleyLab,Physical organic chemist at Miami University,"#foldamers, #nonequilibrium, #RandomMusings",https://mas.to/@Hartley

11/8/2022 22:27:17,Rachel Segalman,@rachelsegalman@mstdn.science ,@rsegalman,,#polymers #chemicalengineering,https://mstdn.science/@rachelsegalman

11/8/2022 22:33:52,Mike,@michael_k_gilson@fediscience.org,@michaelkgilson,"Professor, School of Pharmacy, UC San Diego","#drugdesign, #physicalchemistry,#statisticalphysics, #proteins, #molecularmotors",https://fediscience.org/@michael_k_gilson

11/8/2022 22:36:41,Simon W. Lewis,@simonwlewis@aus.social,@simonwlewis,"Professor of Forensic and Analytical Chemistry at Curtin University. Educator and researcher with interests in forensic exchange evidence, latent fingermarks and sustainable forensic science. https://orcid.org/0000-0002-2049-1586",#forensics #fingerprints #scicomm #life #ozchem,https://aus.social/@simonwlewis

11/8/2022 22:37:56,Martin Stoermer,@MartinStoermer@aus.social,@MartinStoermer,"medicinal chemist, antiviral research, football",#ozchem #RealTimeChem ,https://aus.social/@MartinStoermer

11/8/2022 22:39:06,Vikki Cantrill,@vikkicantrill@mastodon.world,@Vikki_Cantrill,Freelance writer and editor for science and education,"Education, Stem, Chemjobs",https://mastodon.world/@vikkicantrill

11/8/2022 22:44:22,Gav Armstrong,@Gav_Armstrong@mastodon.social,@NChemGav,"Chief Editor Nature Chemistry (handling physical stuff) #science #chemistry #publishing - Live #Calderdale, work London. Ex-University Leeds, Ex-Hetton-le-Hole",#science #chemistry #publishing ,https://mastodon.social/@Gav_Armstrong

11/8/2022 22:46:07,LabRat,@LabRat10@mastodon.eus,@LabRat10,,#batteries #battchat #EUresearch,https://mastodon.eus/@LabRat10

11/8/2022 22:51:24,C. Anthony Lewis,@morgrugyn@mastodon.social,@morgrugyn,,,https://mastodon.social/@morgrugyn

11/8/2022 22:55:54,Chris Cramer,@ChemProfCramer@mstdn.social,@ChemProfCramer,"Chief Research Officer, UL Research Institutes. Former Chem Prof and Vice President for Research, University of Minnesota. Theoretical chemist who started as synthetic organic. Broadly interested in energy materials, catalysis, and sustainability as well as higher ed, science policy, and politics. Cat owner. Runner. Foodie. Puzzler.",#CompChem #HigherEd #CatPictures #Chicago #SafetyScience,https://mstdn.social/@ChemProfCramer

11/8/2022 23:01:16,Adam M Gilbert,@adammgilbert@mstdn.science,@adammgilbert911,"I'm a Ph.D. organic chemist by training and have been working in the pharmaceutical industry for 28 years.  I currently lead a diverse platform medicinal chemistry group at Pfizer in Groton tasked with developing new strategies for first-in-class targets #inducedproximity #covalentfirst #vaccine and #adjuvant design.  I also love all things #cycling and have a passion for music from the 70s (Philly Soul, Funk, Yacht Rock)",#inducedproximity #covalentfirst #vaccines #adjuvants #dels,https://mstdn.science/@adammgilbert

11/8/2022 23:05:34,Franca Jones,@Franca@mstdn.social,FrancaJones3,Chemistry academic interested in crystallisation,#chemistry #crystallisation #WomeninSTEM,https://mstdn.social/@Franca

11/8/2022 23:10:14,Yuanning Feng,@YuanningFeng@mastodon.social,@YuanningFeng,,,https://mastodon.social/@YuanningFeng

11/8/2022 23:11:43,Stuart Prescott,@SWPrescott@fediscience.org,@SWPrescott,"Complex Fluids Group at UNSW Chemical Engineering - researching polymer and surfactant systems, complexation, salt effects, and how to rebuild consumer product formulations",#softmatter #polymers #surfactants #neutrons #scattering,https://fediscience.org/@SWPrescott

11/8/2022 23:17:49,Nina Hartrampf,@NinaHartrampf@mstdn.science ,@NinaHartrampf,,#peptides #proteinsynthesis #IDP #flowchemistry #automation,https://mstdn.science/@NinaHartrampf

11/8/2022 23:18:22,Jonas Verhellen,@jverhell@qoto.org,@jonas_verhellen,"Currently bouncing back and forth between computational drug design and neurogenetics @UniOslo. Former theoretical physicist. Tweets my own, or Odin's.",#compchem #physics #neuroscience #diveristy #deeplearning ,https://qoto.org/@jverhell

11/8/2022 23:18:25,Nick Riley,@riley_nm1@mstdn.science,@riley_nm1,"Current postdoc with Carolyn Bertozzi, incoming assistant professor at the University of Washington in 2023","#TeamMassSpec, #glycotime, #ChemicalBiology",https://mstdn.science/@riley_nm1

11/8/2022 23:20:33,Zhang-He Goh,@zhanghe_goh@mastodon.social,@zhanghe_goh,#PhD student at @SynTech_CDT | #preLighter at @preLights | #Pharmacy graduate,"#ChemTwitter, #Pharmacy, #PhD, #AcademicTwitter",https://mastodon.social/@zhanghe_goh

11/8/2022 23:22:28,Jennifer Faust,@JenniferAFaust@mastodon.online,JFaustDoesChem,Assistant professor of environmental and analytical chemistry at the College of Wooster,#EnviroChem #AtmosChem #TeamMassSpec #PFAS,https://mastodon.online/@JenniferAFaust

11/8/2022 23:32:35,Rigoberto Hernandez,@EveryWhereChem@Mastodon.Social,@EveryWhereChem,"Theoretical and Conputational Chemistry @ Johnâs Hopkins; Director of OXIDE;  ACS Volunteer Leader; Consultant; Advisor; Traveler; Tae Kwon Do; Peloton Bike, Yoga & Shadow Boxing.",#ChemToots #CompChem #MolecularDynamics #Diversity #Leadership,https://Mastodon.Social/@EveryWhereChem

11/8/2022 23:37:51,Rachel Epplin,@rachel_epplin@mastodon.world,@RachelEpplin,I'm a 5th year PhD candidate studying synthetic organic chemistry in Kevin Brown's lab at Indiana University,"Chemistry, grad student life",https://mastodon.world/@rachel_epplin

11/9/2022 0:00:51,Jose Jimenez-Luna,@jjimenezluna@mastodon.social,@josejimlun,,#compchem #structuralbiology #explainableai ,https://mastodon.social/@jjimenezluna

11/9/2022 0:08:52,Thomas M. Truskett,@TM_Truskett@social.coop,@TM_Truskett,ChE Professor at UT Austin ,"#Assembly, #Colloids, #StatMech, #SoftMatter, #HigherEd",https://social.coop/@TM_Truskett

11/9/2022 0:21:47,Sascha Feldmann,@sascha_feldmann@mstdn.social,@sascha_feldmann,Research group leader at Harvard using spectroscopy to study materials for a sustainable energy future,#science #chemistry #sustainable #energy #spectroscopy,https://mstdn.social/@sascha_feldmann

11/9/2022 0:30:41,Zhichang Liu,@ZhichangLiu@c.im,@Zhichang_Liu,Assistant professor of chemistry at Westlake University,#MolecularStrainEngineering #SupramolecularChemistry,https://c.im/@ZhichangLiu

11/9/2022 0:40:05,Dr. Emily Arndt,@brachinus@queer.party,@emily_m_arndt,Polymer chemist in industry. Also spent some quality time studying bombardier beetles. Autistic trans pan ace woman (she/her),#ChemistsWhoCook #lgbtquia #trans #queer #RealTimeChem,https://queer.party/@brachinus

11/9/2022 0:48:23,Anthony L. Fernandez,@afernandezphd@qoto.org,@afernandezphd,,,https://qoto.org/@afernandezphd

11/9/2022 1:00:39,Jarett wilcoxen,@jwilcoxen@mstdn.science,@jwilcoxen,"Bioinorganic Chemistry who loves magnets, Asst prof at UW Milwaukee ",,https://mstdn.science/@jwilcoxen

11/9/2022 1:02:54,Jeremy Baskin,@jeremybaskin@mstdn.science,@basktastic,"Associate Professor, Department of Chemistry & Chemical Biology and Weill Institute for Cell & Molecular Biology, Cornell University. My research interests are at the interface of the chemical biology and cell biology of lipids and membranes. ",#chembio #lipidtime #bioorthogonal #clickchemistry,https://mstdn.science/@jeremybaskin

11/9/2022 1:08:52,Jon Beves,@jonbeves@aus.social,@JonBeves,"Assoc. Prof. in Chemistry at UNSW in Sydney, Australia. Supramolecular chemist and heavy metal enthusiast. ",#ozchem #supramolecular #NMR #photoswitch #academic,https://aus.social/@jonbeves

11/9/2022 1:29:25,Adam Johnson,@adamreidjohnson@c.im,@hmcinorganic,"organometallic chemist, IONiC VIPEr codeveloper and educator at Harvey Mudd College",,https://c.im/@adamreidjohnson

11/9/2022 1:36:08,Caroline Lynn Kamerlin ,@kamerlinlab@c.im,@kamerlinlab,,"#compchem, #scipol, #momlife, #veganfood, #politics",https://c.im/@kamerlinlab

11/9/2022 2:45:09,Geoff Hutchison,@ghutchis@mastodon.social,@ghutchis,"Professor @Pitt_Chem, Husband, Dad, Runner, Teacher. I develop @AvogadroChem & @OpenBabel_org to find new materials for energy applications",#OpenScience #CompChem #MachineLearning #Materials #cheminformatics,https://mastodon.social/@ghutchis

11/9/2022 3:01:24,KamatlabND,@PKamat@mstdn.social,@KamatlabND,Interest in #photovoltaics #solar energy #nanomaterials #environmental #renewables and #publications Views are my own.,#photovoltaics #energy #environment #publication #academics,https://mstdn.social/@PKamat

11/9/2022 3:32:38,Byron Purse,@ByronPurse@mstdn.science,@ByronPurse,Professor of organic chemistry SDSU working on nucleosides,"#chemistry, #chemicalbiology, #outdoors, #music",https://mstdn.science/@ByronPurse

11/9/2022 4:16:05,Mike Harms,@EvolBiochemist@ecoevol.social,@EvolBiochemist,Associate Professor doing biophysics and evolutionary biology at the University of Oregon. he/him/his,#publication #science #proteinevolution #biophysics,https://ecoevol.social/@EvolBiochemist

11/9/2022 4:36:51,Gemma C. Solomon,@gemmacsolomon@mastodon.social,@GemmaCSolomon,"Professor of Computational Chemistry, University of Copenhagen moving towards Quantum Computing. Deputy Editor ACS Physical Chemistry Au, Senior Editor The Journal of Physical Chemistry A/B/C",#oa #compchem #quantumcomputing,https://mastodon.social/@gemmacsolomon

11/9/2022 5:06:13,Raffaele Ricco,@raffricchem@fediscience.org,@raffricchem,,,https://fediscience.org/@raffricchem

11/9/2022 5:26:27,Putri Fraser,@Ptrfsr@mastodon.nz,@Ptrfsr,"PhD in Environmental Chemistry, working as industrial chemist in Johnston Research Group @ Victoria Uni of Wellington. Doing bits of geothermal, bits of paint recycling, bits of fertiliser researchâ¦",#BorderTerrier #SciFi #Fantasy #Science ,https://mastodon.nz/@Ptrfsr

11/9/2022 5:31:24,Lucie Delemotte,@luciedelemotte@mstdn.science,@Delemottelab,,#biophysics #ioncgannels #compchem #womeninSTEM,https://mstdn.science/@luciedelemotte

11/9/2022 5:35:27,Gokhan Demirel,@gdemirel@mastodon.com.tr,@gokhandemirels,,,https://mastodon.com.tr/@gdemirel

11/9/2022 5:51:06,Joseph J. Thiebes,@thiebes@mastodon.social,@thiebes,"PhD candidate in chemistry at Montana State U. Current research in femtosecond laser microscopy and spectroscopy of optoelectronic materials, especially perovskites and nanoparticles. Interests generally lie in physics of materials for energy conversion and storage, and of light-matter interactions. Non-traditional student with a spouse and two young children; social justice advocate;  maker of 3D design, electronics, photography, digital art, and food.",#Photonics #MaterialsScience #Perovskite #Nanoparticles #3DPrinting,https://mastodon.social/@thiebes

11/9/2022 5:54:39,Madeline Kavanagh,@mads_chem@mstdn.science,@mads_chem,"Sir Henry Wellcome Postdoctoral Fellow @Scripps Research, via @OxfordChemistry| @ChemCambridge|@Sydneychemistry. Pursing allosteric drugs, chemical immunology, proteomics, antibiotics. Otherwise find me under trees or on the slopes! She/her/hers",#chembio #proteomics #medchem #immunology #STEMeducation,https://mstdn.science/@mads_chem

11/9/2022 6:11:53,Johannes Margraf,@margraf@mastodon.social,@jtmargraf,Group Leader #compchem @FHI Berlin,#compchem #chemiverse,https://mastodon.social/@margraf

11/9/2022 6:46:48,Mari Morimoto,@MariMorimoto@mstdn.science,morimoto_mari,Postdoc with Carolyn Bertozzi @Stanford. Formerly PhD student with Dean Toste and Ken Raymond @UCBerkeley. Synthetic chemist transitioning into glycobiology and targeted protein degradation space ,"Glyco, targetedproteindegradation, chembio, supramolecularchemistry, catalysis",https://mstdn.science/@MariMorimoto

11/9/2022 6:49:19,Andre Cruz,@andre3@mastodon.online,Menandz3,Filipino-Canadian Final Year Polymer Chemistry PhD Candidate at the University of Cambridge. ,#chemistry #ChemistsWhoCook ,https://mastodon.online/@andre3

11/9/2022 6:52:49,Matthieu Sollogoub,@SollogoubM@mastodon.world,@SollogoubM,"Prof of molecular chemistry at Sorbonne University : organic, biological and Supramolecular glycochemistry; Post-doc with Tom Brown (Southampton U); PhD in ENS Paris with Pierre SinaÃ¿","News from the lab, scientific papers I find interesting ",https://mastodon.world/@SollogoubM

11/9/2022 7:12:53,Riccardo Spezia,@riccardosp@mastodon.bida.im,@riccardosp,CNRS research director in Theoretical Physical Chemistry at Sorbonne UniversitÃ©. Lives in Paris. Working on molecular dynamics simulations in particular to understand reactivity in gas and liquid phase. Actually also director of CECAM-FR-MOSER node.,#compchem #science #music #italy,https://mastodon.bida.im/@riccardosp

11/9/2022 7:14:45,Mathias Micheel,@buerviper@mastodon.green,@buerviper,,#photochemistry #nanoparticles #hydrogen #SolarFuels,https://mastodon.green/@buerviper

11/9/2022 7:48:10,Wendy Patterson,@wendympatterson@mas.to,@wendympatterson,Scientific Director of the Beilstein-Institut,#openscience #diamondOA #chemistry #nanotechnology #organicchemistry,https://mas.to/@wendympatterson

11/9/2022 8:11:11,Carolyn Bertozzi,@bertozzi@mstdn.science,@CarolynBertozzi,"Professor of Chemistry at Stanford, Baker Family Director of Sarafan ChEM-H, HHMI",#glycotime #chembio #bioorthogonal #TPD,https://mstdn.science/@bertozzi

11/9/2022 8:14:43,Stephan Hacker,@Stephanhacker2@mstdn.science,@StephanHacker2,Assistant Professor at Leiden University. Covalent inhibitors and chemoproteomic technologies to discover new targets for antibiotics. Views my own. he/him/his,#ChemicalBiology #Chemoproteomics #Antibiotics,https://mstdn.science/@Stephanhacker2

11/9/2022 8:17:06,Anthe Janssen,@apajanssen@mstdn.science,@AntheJanssen,,,https://mstdn.science/@apajanssen

11/9/2022 8:24:36,Cedric Graebin,@cedric@fediscience.org,@cedricgraebin,"Medicinal chemistry trainer @ WCAIR, University of Dundee, UK",#medicinal #chemistry #DrugDesign #synthesis #organic,https://fediscience.org/@cedric

11/9/2022 8:30:40,Adam Michalchuk,@amichalchuk@mastodon.social,@amichalchuk,"computational and mechanochemist, university of birmingham",#compchem #mechanochem ,https://mastodon.social/@amichalchuk

11/9/2022 8:30:43,Jochen Brandt,@JochenRBrandt@mstdn.science,@JochenRBrandt,"2020 Royal Society University Research Fellow @QMUL. Interested in Chemistry, helicenes, chiral materials, CISS and baked goods. He/Him/His",#ChiralMaterials #Helicenes #CISS #EDI,https://mstdn.science/@JochenRBrandt

11/9/2022 8:45:56,Luka Dordevic,@lukadordevic@fediscience.org,@L_Dordevic,"I am an organic chemist that is interest in catalysis, self-assembly and nanomaterials. I'm a post-doc at Northwestern University in the Stupp Group. Previously worked at the Universities of Trieste and Cardiff. ",#chemistry #organicchemistry #synthesis #suprachem #supramolecular,https://fediscience.org/@lukadordevic

11/9/2022 8:46:28,Robert Pollice,@robpollice@mstdn.science,@robpollice,"Assistant Professor for Computer-Aided Organic Synthesis at the Stratingh Institute for Chemistry, University of Groningen",#RobSelects,https://mstdn.science/@robpollice

11/9/2022 8:54:13,Michael Booth,@mikebooth@mstdn.science,@DrMikeBooth,"Lecturer (Asst Prof) in OrgChem/ChemBio at UCL Chemistry, Royal Society URF",#chembio #DNA #RNA #synbio,https://mstdn.science/@mikebooth

11/9/2022 8:56:59,Laura van Laeren,@Whimsy1856@mastodon.online,@lauravlaeren,"Chemistry PhD in a former life. Now mostly writing, editing, collecting hobbies and talking about mental health.",,https://mastodon.online/@Whimsy1856

11/9/2022 8:57:21,Ifan Stephens,@IfanStephens@mas.to,@IfanStephens,Leads Interfacial Electrochemistry Group at Department of Materials at Imperial College. Researches catalysis of low temperature electrochemical devices https://www.imperial.ac.uk/interfacial-electrochemistry-group/,#electrochemistry #electrocatalysis #politics #energy #electrolysis,https://mas.to/@IfanStephens

