Timestamp,What name do you want to be listed by?,"What is your Mastodon handle (@user@instance.name)? Please don't leave out the instance (server) as well. For example, @coolperson@mastodon.social, not just @coolperson. ","Chronological areas of interests (e.g. Early Modern, Tang dynasty, 19th century, etc.)","Geographical areas of interest (e.g. Southeast Asia, Tibet, Silla, RyÅ«kyÅ«, China)","Themes or areas of research of interest (e.g. intellectual history, gender, history of science, etc.)",Other short info for self-description,"If another list of Mastodon accounts is created that overlaps with the interests and focus of your submission (a humanities list, etc.) is created, may we share the info here with that list?","If you have an account on Twitter, consider adding your account handle here (e.g. @twitterhandle) to help your follows from there find you here:",
10/31/2022 14:36:18,Chuck Wooldridge,@chuckwooldridge@mastodon.online,"Qing Dynasty, 19th Century, modern China","East Asia, China, Taiwan, Japan","history of religion, maintenance, history of technology","Currently working on religious practices in Taiwan, Qing to present",Yes,@WooldridgeChuck,https://mastodon.online/@chuckwooldridge

11/1/2022 17:08:41,Cameron D. Campbell,@cameroncampbell@mstdn.social,Qing dynasty,China,"Demography, stratification, bureaucratic careers, historical big data",,Yes,@campbell_kang,https://mstdn.social/@cameroncampbell

11/3/2022 8:27:44,Rachel Bright ,@RBrightHistory@mastodon.social,Modern,"British Empire, South Africa, Australia, China","Migration, gender, race, settler colonialism",,Yes,@RBrightHistory,https://mastodon.social/@RBrightHistory

11/3/2022 14:02:13,Howard Chiang,@howard@mastodon.lol,20th and 21st century,"China, Taiwan, the Sinophone Pacific","science, medicine, gender, sexuality, psychoanalysis",,Yes,,https://mastodon.lol/@howard

11/5/2022 4:31:08,James Gethyn Evans,@jagevans@c.im,"Modern China, Cold War","China, East Asia, Global South","Global/International history, Diplomatic history, history of science, political history",PhD Candidate working on Global Maoism and political extremism in the (post-)Cold War,Yes,@jagevans,https://c.im/@jagevans

11/5/2022 6:56:01,Caitlin Barker,@cbarker@writing.exchange,"Modern Africa, Modern China, Cold War","Africa, China, Global South","Transregional history, intellectual history, diplomatic history, political history",PhD candidate writing on Cameroon-China people-to-people relations during the Cold War,Yes,@CaitlinBarker10,https://writing.exchange/@cbarker

11/5/2022 7:28:25,Julie Sullivan,@juliesullivan@mastodon.social,"Early China is my hobby (not a historian). Also Names, Translation, Whimsy, Politics (2022)","China, Ireland, France, Louisiana","Early China, pre-Han, esp Qin, Shijing, poetry translation","Amateur Sinologist, longterm Parisian, western Colorado",Yes,@Webwight,https://mastodon.social/@juliesullivan

11/5/2022 17:59:40,Emma Wordsworth,@ek_word@mastodonapp.uk,19th century,"Britain, India, Ottoman Empire, China","Famine, disaster relief, humanitarianism, global history, gender, race, class",,Yes,,https://mastodonapp.uk/@ek_word

11/5/2022 19:22:06,Natasha Heller,@nheller@zirk.us,"Tang, Song, Yuan, Ming dynasties; modern","China, China","religion, Buddhism ",,Yes,@nheller,https://zirk.us/@nheller

11/6/2022 0:00:01,Richard Horowitz,@bookwitz@mstdn.social,19th & 20th Century,"China, East Asia, World History","Politics & diplomacy, missionaries","Professor as California State University, Northridge",Yes,@bookwitz,https://mstdn.social/@bookwitz

11/6/2022 10:09:32,Ioan Trifu,@ioantrifu@mstdn.jp,19th-21st Centuries,"Japan, East Asia, France","Political history, cultural heritage, animals, disaster and environmental politics","Lecturer in Japanese Studies, INALCO (Paris)",Yes,@ioantrifu,https://mstdn.jp/@ioantrifu

10/30/2022 14:04:52,Ariane Hertel,@anaxanthas@nrw.social,Contemporary,Japan,mixed race Japanese and their media depictions,I'm currently writing my master's thesis on Naomi Osaka's portrayals in Japanese newspapaers 2018-2021,Yes,,https://nrw.social/@anaxanthas

10/30/2022 17:30:08,David Ambaras,@dambaras@mastodon.social,Modern (and Early Modern),Japan/Asia/Global,"Imperialism/colonialism, Spatial history, mobilities and transgressions, social history",,Yes,@dambaras,https://mastodon.social/@dambaras

11/3/2022 3:47:14,Sayaka Chatani,@SayakaChatani@scholar.social,Modern; 20th centur,"East Asia, Japan, Korea, ","social history, empires, colonialism, Cold War, diaspora, gender",,Yes,@SayakaChatani,https://scholar.social/@SayakaChatani

10/31/2022 20:49:58,Achim KlÃ¼ppelberg,@Achim@social.anoxinon.de,"20th century, 21st century","Eastern Europe, Eurasia, Central Asia, Mongolia, Japan","Energy history, nuclear history","Energy historian, with a focus on Soviet and Russian nuclear programmes. PhD candidate at KTH Royal Institute of Technology in Stockholm, Sweden.",Yes,@AKluppelberg,https://social.anoxinon.de/@Achim

11/1/2022 12:13:52,Ethan Mark,@ethanmark@mastodon.online,20th century,"East Asia, Southeast Asia, Japan, Indonesia","Cultural history, Social history","I specialize in modern Japanese history, with particular expertise in Japanese imperialism and the social and cultural history of the 1920s-1940s.   I am also a scholar of modern Indonesia, and much of my research has revolved around Japanâs occupation of Indonesia in the Second World War as viewed and experienced by both Japanese and Indonesians, within a broader global context of interwar crisis.   In 2015 I also completed a major translation project of Professor Yoshimi Yoshiakiâs classic study Grassroots Fascism: The War Experience of the Japanese People (New York, Columbia University Press), supplementing the original with substantial new annotation and an extensive translatorâs introduction.  I am further interested in regional and global history (and the relationship between them) as well as broader questions and theories of nationalism and nation-building, fascism, Marxism and socialism, imperialism, colonialism and anti-colonialism, neo-colonialism and neo-imperialism, postcolonialism and postcolonial theory, race and race-thinking, history and memory, and historiography. My current project entitled Global Histories of WWII:  Imperial Crises and Contested Loyalties seeks to offer, in the form of an open-access publication and an associated website, a diverse assortment of fresh narratives and interpretations of the Second World War as a truly global (as opposed to Eurocentric) conflict.",Yes,@ethanmarkleiden,https://mastodon.online/@ethanmark

11/5/2022 2:37:48,Robert (Bo) Jacobs,@bojacobs@mastodon.social,"Modern, Deep Time","Global, Oceania, US, Japan","Nuclear history, radiation technopolitics, Cold War, environmental, peace",Professor at Hiroshima Peace Institute working on nuclear history and global hibakusha,Yes,"@bojacobs, @nuclearbodies, @globalhibakusha",https://mastodon.social/@bojacobs

11/4/2022 2:12:33,Nathan Ledbetter,@nathanledbetter@mstdn.social,Medieval/Early Modern + some 20th C,Japan/East Asia,"History, War & Society, IR, Security",PhD Candidate at Princeton (East Asian Studies),Yes,@NH_Ledbetter,https://mstdn.social/@nathanledbetter

11/5/2022 13:26:51,Michael Roellinghoff,@roellinghoff@mstdn.jp,"Early Modern, Modern (Meiji-Showa)","Modern Japan, Hokkaido, the Transpacific","Settler colonialism, empire, intellectual history",,Yes,@m_roellinghoff,https://mstdn.jp/@roellinghoff

11/5/2022 18:20:19,John Schneiderwind,@japan_prof_john@mstdn.jp,"Modern, Occupation-Era",Japan,"Gender, sexuality, power, memory",,Yes,@Japan_prof_john,https://mstdn.jp/@japan_prof_john

11/6/2022 0:34:23,Kalyani Ramnath,@kalramnath@mastodon.social,18th - 20th century,"South Asia, Southeast Asia, Indian Ocean","Legal History, Intellectual History, Maritime History",,Yes,@kalramnath,https://mastodon.social/@kalramnath

10/30/2022 13:19:42,Hilde De Weerdt,@hildedeweerdt@mastodon.social,"Medieval, Early Modern, Longue-durÃ©e, Tang, Song, Yuan, Ming, Qing, 18th C","East Asia, Inner Asia, Central Asia, Afroeurasia, Southeast Asia, ","intellectual history, political history, social history, infrastructures, digital history, spatial history, comparative and global history",Happy to collaborate on global and comparative historical projects.,Yes,@hild_de,https://mastodon.social/@hildedeweerdt

10/30/2022 16:46:34,Chris Levesque,@chris_levesque@mastodon.online,Cold War,"United States, Southeast Asia","Military and naval history, atrocities, gender and war, religion and war",,Yes,@chris_levesque_,https://mastodon.online/@chris_levesque

11/4/2022 13:56:41,Jonathan Robins,@robinshistory@mstdn.social,19-21st century,"Africa, Southeast Asia, Europe, North America","commodities, imperialism, colonialism, industrial history, labor history","Teach at Michigan Tech, book review editor for Agricultural History, post about research and mushrooms",Yes,@robinshistory,https://mstdn.social/@robinshistory

11/4/2022 17:35:41,Agas Ramirez,@agasramirez@mastodon.social,"Age of Commerce, Colonial Period, WWII",Southeast Asia,"women's history, colonial history, gender, migration, political science",Creator and host of the HERstory Southeast Asia podcast based in the Philippines,Yes,@agasramirez,https://mastodon.social/@agasramirez

11/5/2022 7:46:37,Nicolo Ludovice,@nludovice@mstdn.social,19 to 20th century,Southeast Asia,"Animal history, history of science, technology and medicine, health-environmental humanities ",,Yes,@ludothexplorer,https://mstdn.social/@nludovice

11/6/2022 5:41:33,Nhung Tuyet Tran,@nhungtuyettran@mastodon.social,Early modern,Southeast Asia ,"Decolonial, gender, religion",,Yes,@nhungtuyettran,https://mastodon.social/@nhungtuyettran

10/30/2022 22:58:30,Rinald D'Souza,@rinald@scholar.social,20th century,"Goa, Ranchi, India, South Asia","Print culture, religion, Christianity, Jesuits",I am PhD candidate in history at KU Leuven,Yes,@rinald,https://scholar.social/@rinald

11/3/2022 8:02:16,Teresa Segura-Garcia,@tseguragarcia@mastodon.online,19th and 20th centuries,South Asia (India),"Gender, colonialism, visual culture, princely states","Postdoc at Universitat Pompeu Fabra, Barcelona. PhD in History, University of Cambridge",Yes,,https://mastodon.online/@tseguragarcia

11/3/2022 22:10:40,Manan Ahmed,@sepoy@mastodon.social,Early Modern,"South Asia, Indian Ocean World","intellectual history, decolonization",,Yes,@sepoy,https://mastodon.social/@sepoy

11/4/2022 18:20:20,Aparna Nair,@DisabilityStor1@mastodon.social,"Disability History, History of Medicine, Disability Studies, Medical Humanities, Graphic Medicine, South Asian History, Colonial Medicine",South Asia; Global South,History of Medicine; History of Science; History of Disability,,Yes,@DisabilityStor1,https://mastodon.social/@DisabilityStor1

11/5/2022 2:55:58,Divya Cherian,@divya_cherian@writing.exchange,"Early modern, 18th century","South Asia, India","Caste, gender, sexuality, indigeneity, magic, occult, colonialism, early modernity",Historian of early modern and early colonial South Asia,Yes,@dillivali,https://writing.exchange/@divya_cherian

11/5/2022 8:17:29,Dr Katherine Schofield ,@katherineschof8@mastodon.social,"Mughal India, early modern, 17th C, 18th C, 19th C","South Asia, Malay world, Indian Ocean","cultural history, the arts especially music, Persian & Urdu literature, emotions, senses, empire, Islam",,Yes,@katherineschof8,https://mastodon.social/@katherineschof8

11/5/2022 15:00:54,Sandipto Dasgupta,@sandipto@mstdn.social,Twentieth Century,"Former British Empire, South Asia, Middle East","history of political thought, intellectual history, decolonization, postcolonial ",Historian of Political Thought at the New School for Social Research,Yes,@sandiptodg,https://mstdn.social/@sandipto

11/5/2022 16:39:55,Tanuja Kothiyal ,@tanujakothiyal@mastodon.social,Medieval and Early Modern south Asia,"Thar Desert, Western Himalayas","Nomadism and State Formation, Borderlands","Author of Nomadic Narratives: A History of Mobility and Identity in the Great Indian Desert and Co-Editor South Asian Borderlands: History, Mobility, Affect",Yes,@tanuja.kothiyal,https://mastodon.social/@tanujakothiyal

11/5/2022 12:47:12,Fredrik Albritton Jonsson,@Finitarian@mastodon.green,1600-2000,"Britain, the British Empire, India, North America, Scandinavia","Environment, energy, political economy, intellectual history",,Yes,@fredrikalbritt1,https://mastodon.green/@Finitarian

11/6/2022 8:27:48,Anh Sy Huy Le,@anhsyhuyle@mas.to,"Modern East Asia, French Colonial Vietnam","East Asia, Sino-Southeast Asia, Maritime Southeast Asia","Global migration history, diaspora studies, Sinology, political economy, transnational capitalism",,Yes,@anhsyhuyle,https://mas.to/@anhsyhuyle

11/3/2022 11:01:46,Chaokang Tai ,@cktai@scholar.social,Late modern (1880-1960),"Western Europe, Indonesia, South Africa ","history of science, history of astronomy, science and ideology, history of photography",Postdoctoral researcher at University of Regensburg,Yes,@chaokangtai,https://scholar.social/@cktai

11/4/2022 9:01:03,Jason Petrulis,@JasonPetrulis@mastodon.online,"19th century, 20th century",US and Asia/Pacific/Global,"history of capitalism, political history, history of race",Assistant Professor of Global History at the Education University of Hong Kong,Yes,@JasonPetrulis,https://mastodon.online/@JasonPetrulis

11/4/2022 22:30:59,Deborah Lee-Talbot,@DLeeTalbot@ausglam.space,19th 20th century ,"Australasia, Australia, Oceania, Pacific, Global South ","Gender, religion, archives, ethnohistory ",,Yes,@colourful_hist,https://ausglam.space/@DLeeTalbot

11/5/2022 12:29:59,Orel Beilinson,@OrelBeilinson@bildung.social,"19th Century, 20th century","Global, Europe, Central Europe, Eastern Europe, Southern Europe, Middle East, Central Asia","social history, cultural history, history of education",,Yes,@BeilinsonOrel,https://bildung.social/@OrelBeilinson

11/5/2022 16:30:28,Jane Hong,@janehong@mastodon.social,20th & 21st century US,"United States and the World, Asia, Pacific World","US in World, immigration, race, evangelicalism, Asian American","Assoc prof at Occidental College, Los Angeles",Yes,@janehongphd,https://mastodon.social/@janehong

11/6/2022 13:09:08,Konrad Lawson,@konrad@social.coop,"20th century, 19th century, especially 1945-55","East Asia, Japan, China, Korea, Taiwan, Southeast Asia","Spatial History, Transnational History, Intellectual History","Lecturer at University of St Andrews, Scotland",Yes,@kmlawson,https://social.coop/@konrad

11/6/2022 14:06:25,Jack W Chen,@jackwchen@zirk.us,"early medieval, medieval, 2nd to 10th centuries",China,"literary studies, comparative literature, poetics","Professor, U Virginia, lover of cats",Yes,,https://zirk.us/@jackwchen

11/6/2022 14:21:22,Francis Galasi,@fbgalasi@hcommons.social,Early Modern,"Philippines, Southeast Asia, South Asia, East Asia","Religion, Medicine, Science, Environment",,Yes,,https://hcommons.social/@fbgalasi

11/6/2022 15:48:41,Kellen Parker á´ á´É´ Dá´á´ æ¯ç¦è,@kprkr@sciences.social,"19th century, mostly","Southeast Asia, South China","linguistic history, migration, diaspora, cultural exchange",,Yes,@kprkr,https://sciences.social/@kprkr

11/6/2022 16:55:22,Daniel Carkner,@dancarkner@mstdn.ca,"late 19th century, 20th century to 1960s","Dutch East Indies, Indonesia","anticolonial history, journalism history, writers & intellectuals","Formerly at University of British Columbia, now unaffiliated researcher working at a library in Vancouver BC, interested in public history and Wikipedia",Yes,@dan_carkner,https://mstdn.ca/@dancarkner

11/6/2022 17:34:36,Mike Thompson-Brusstar,@miket_32@mastodon.social,"20th century, 21st century","China, Taiwan","bureaucracy, authoritarianism, political economy",,Yes,@miket_32,https://mastodon.social/@miket_32

11/6/2022 17:39:35,Carwyn Morris,@carwyn@fediscience.org,Contemporary,China,"digital governance, digital activism, displacement, spatial governance, migration, wanghong, internet celebrity, urban change","Assistant Professor at Leiden University, exploring contemporary Chinese society, particularly digital relations",Yes,@carwyn,https://fediscience.org/@carwyn

11/6/2022 17:41:44,David Hull,@HuShuo@mastodon.social,Republican Era,China,"Translation, Satire, Narrative",,Yes,@HuShuo,https://mastodon.social/@HuShuo

11/6/2022 18:31:24,Tineke D'Haeseleer,@tinebeest@mstdn.social,"Tang dynasty, premodern Korea, Balhae/Parhae","East Asia, China, Japan, Korea, Manchuria","State and society, intellectual history",Trying not to touch anything that hasn't been dead for at least 1000 years.,Yes,@tinebeest,https://mstdn.social/@tinebeest

11/6/2022 20:10:21,Charles A. Laughlin,@charleslaughlin@zirk.us,Modern (since 1900),China,"Literature and film, nonfiction (including essays, reportage, memoir, documentary film), emotion in socialist cultures",,Yes,@charleslaughlin,https://zirk.us/@charleslaughlin

11/6/2022 21:17:39,Resto Cruz,@restocruz@sciences.social,Post-1945 and contemporary ,Philippines; Southeast Asia,Kinship and relatedness; generations and cohorts; life course; social mobility; siblingship; middle classes,"Lecturer in Social Anthropology, University of Edinburgh ",Yes,@RCruzAnth,https://sciences.social/@restocruz

11/6/2022 21:52:28,Emma Martin,@tibetcurator@zirk.us,"19th century, 20th century, 21st centaury",Tibet,"Diplomatic history, museology, material culture","Lecturer in Museology, University of Manchester and Curatorial advisor to the Tibet Museum, Dharamshala. Next Book - The Dissident Museum for Museums in Focus series, Routledge. Also researching in the colonial archive to recover Tibetan material culture in the present",Yes,@tibetcurator,https://zirk.us/@tibetcurator

11/6/2022 22:17:44,Kerim Friedman,@kerim@mastodon.xyz,20th century,"Taiwan, India","Anthropology, Language, Visual Culture, Indigeneity ",,Yes,@kerim,https://mastodon.xyz/@kerim

11/6/2022 22:22:07,Nicholas Loubere,@ndloubere@toot.community,Contemporary,China; Global China,Rural development; migration; resource extraction,"Associate Professor, Centre for East and South-East Asian Studies, Lund University",Yes,@ndloubere,https://toot.community/@ndloubere

11/6/2022 22:44:42,Etienne Marq,@tiennusmarcus@piaille.fr,"Meiji to Showa eras, modern era, 19th-20th centuries",Japan,"Roman Catholicism, empire and religions, politics and religions, intellectual history, transnational history","PhD candidate at EPHE-PSL (Paris, France)",Yes,@tiennusmarcus,https://piaille.fr/@tiennusmarcus

11/6/2022 23:02:14,Brian Hioe,@brian_hioe@mastodon.online,"Japanese colonial Taiwan, Republican China, post-war Taiwan","Taiwan, China, Japan",Intellectual history,,Yes,@brianhioe,https://mastodon.online/@brian_hioe

11/6/2022 23:22:27,Arin Basu,@arinbasu@qoto.org,"India, Environment",India,"Environment, Epidemiology, Health","Professor of Epidemiology and Environmental Health, University of Canterbury",Yes,@arinbasu,https://qoto.org/@arinbasu

11/6/2022 23:47:04,Ian Chong,@inchg@mastodon.social,"Late 19th century, 20th century, contemporary","Southeast Asia, Taiwan, China","Politics, foreign policy, security",Political scientist with interest in history and sociology,Yes,@ChongJaIan,https://mastodon.social/@inchg

11/7/2022 0:51:14,John Harney,@profjohnharney@zirk.us,Modern,"East Asia, China, Taiwan","Sport history, video games, history of Christianity in China & Taiwan",Assoc. Prof. at Centre College History Program,Yes,@profjohnharney,https://zirk.us/@profjohnharney

11/7/2022 1:37:17,David Ambaras,@dambaras@mastodon.online,Modern Japan/Asia,"Japan, East Asia, Southeast Asia, global","Imperialism/colonialism, social history, spatial history, maritime history","Author, *Japan's Imperial Underworlds* and *Bad Youth*. Co-director, Bodies and Structures: Deep-mapping Modern East Asian History (http://bodiesandstructures.org). Current project: Maritime Connections and Japanese World-Making in the 1950s-1960s.",Yes,@dambaras,https://mastodon.online/@dambaras

11/7/2022 1:40:08,Preeti Raghunath,@preetiraghunath30@mastodon.social,British colonialism,South and Southeast Asia,Labour history,,Yes,@preetiraghunath,https://mastodon.social/@preetiraghunath30

11/7/2022 2:18:56,Yael Rice,@yael_rice@mastodon.online,14th-18th c.,South Asia,"Book history, material culture","Prof. at a SLAC, also interested in museums & DH",Yes,@yael_rice,https://mastodon.online/@yael_rice

11/7/2022 3:06:59,Remco Breuker,@remcobreuker@mastodon.social,"KoryÅ, Contemporary","Korea, Northeast Asia","intellectual history, slavery, unfreedom, exile",Professor of Korean Studies at Leiden University,Yes,@koryoinleiden,https://mastodon.social/@remcobreuker

11/7/2022 3:35:40,Minoli Wijetunga,@Elliiipses@aus.social,Post-colonial,South Asia,education,,Yes,@Elliiipses,https://aus.social/@Elliiipses

11/7/2022 4:06:38,HeeJin Lee,@heejinlee@zirk.us,,Korea,Literature and culture,,Yes,@heejinlee_,https://zirk.us/@heejinlee

11/7/2022 6:27:52,CedarBough Saeji,@TheKpopProf@mstdn.social ,Modern ,"Korea, Tibet","popular culture (K-pop, K-drama), tourism, museums, displays of culture, traditional performance, heritage, mask dance drama, theatre, dance",,Yes,@TheKpopProf,https://mstdn.social/@TheKpopProf 

11/7/2022 6:38:39,Christian Tagsold,@ChTagsold@fediscience.org,"Edo, Meiji, Showa, Heisei, Heian, current Japan","Japan, East Asia","Japanese Gardens, diaspora, sports, manga/anime","Professor at Heinrich Heine University DÃ¼sseldorf, Researching, enjoying, and sometimes demystifying/deconstructing #Japanesegardens",Yes,@prieber,https://fediscience.org/@ChTagsold

11/7/2022 7:06:52,Eszter Melitta SzabÃ³,@esztermelittaszabo@mas.to,"Modernity, 19th century onwards","Iran, North India, Persianate world in general ","Literature, Anthropology, Women's and Gender Studies",Student of Iranian and Indian Studies. Language tutor. Translator.  Interests: #Persian_Literature  #Comperative_Literature #Anthropology #Gender_Studies,Yes,,https://mas.to/@esztermelittaszabo

11/7/2022 7:24:23,Sander Molenaar,@sandermarkmolenaar@akademienl.social,"Ming Empire, Qing Empire","China, Southeast Asia","Maritime history, social history, cultural history, global history",,No,,https://akademienl.social/@sandermarkmolenaar

11/7/2022 8:38:59,Ivan Franceschini,@ivanfranceschini@toot.community,Contemporary,"China, Southeast Asia","labour rights, civil society, Global China",,Yes,@FangYiren,https://toot.community/@ivanfranceschini

11/7/2022 11:02:23,Malcolm Keating,@sutrasandstuff@mastodon.social,2nd to 13th centuries CE,Southeast Asia (India),"Indian philosophy, Hinduism, Buddhism, philosophy of religion",,Yes,@sutrasandstuff,https://mastodon.social/@sutrasandstuff

11/7/2022 11:10:07,Bernhard Leitner,@bmleitner@mas.to,"Early Modern, ca. 1900","Japan, Korea, East Asia, Southeast Asia","History of medicine, history of science, brain science, psychiatry, neurology, colonialism",,Yes,@bmleitner,https://mas.to/@bmleitner

11/7/2022 11:57:21,Soma Basu,@sbasu@mastodon.online,"Social Media, Postmedia, Visual cultures, Communal violence, Political Violence",South Asia,"Social Media, Postmedia, Visual cultures, Communal violence, Political Violence","An Investigative journo turned researcher, PhDing at Tampere University. Researching social media for Science Po, Princeton and Columbia University's joint project â Muslims in India. Former journalist fellow of the Reuters Institute for the Study of Journalism, Oxford University, and former India editor of AFP Factcheck.",Yes,@sbasu_in,https://mastodon.online/@sbasu

11/7/2022 13:11:30,Chien-Wen Kung,@kungfuzi@hcommons.social,20th century,"China, Taiwan, Southeast Asia","Migration and diaspora, Cold War","Assistant Professor of History, National University of Singapore",Yes,@kchienw,https://hcommons.social/@kungfuzi

11/7/2022 13:31:16,Bittermelon,@bittermelon@writing.exchange,20th century,China,"gender, environment, Maoism",,Yes,,https://writing.exchange/@bittermelon

11/7/2022 14:58:33,Barbara Witt ,@sinolit@zirk.us,"Late Imperial China, Ming, Qing",China,"Vernacular literature, religious novels, cultural history, women in literature","Currently a Postdoc at NCCU in Taipei, PhD and everything before at Munich University",Yes,@sinolit,https://zirk.us/@sinolit

11/7/2022 15:12:39,Brendan O'Kane,@bokane@jawns.club,Ming-Qing transition,China,"literature, particularly vernacular fiction","translator, editor, writer, Twitter éºæ°",Yes,@bokane,https://jawns.club/@bokane

11/7/2022 15:59:18,David Ambaras,@dambaras@zirk.us,Modern (and Early Modern),Japan/Asia/Global,imperialism/colonialism; borders/boundaries/mobilities; maritime; urban; social history; spatial history,"Author, *Japan's Imperial Underworlds* and *Bad Youth*. Co-director, Bodies and Structures: Deep-mapping Modern East Asian History (http://bodiesandstructures.org). Current project: Maritime Connections and Japanese World-Making in the 1950s-1960s.",Yes,@dambaras,https://zirk.us/@dambaras

11/8/2022 0:07:08,Sung-Yueh Perng,@syperng@mas.to,Contemporary,"East Asia, Taiwan, Japan, Korea","data and digital technology, civic tech, public participation","Assoc Prof, Institute of Science, Technology and Society, Nat'l Yang Ming Chaio Tung University ",Yes,@syperng,https://mas.to/@syperng

11/8/2022 1:12:10,Pau Pitarch,@paupitarch@mastodont.cat,Modern and Contemporary,Japan,"Literature, Media Studies",Assistant Professor at Waseda University,Yes,@paupitarch,https://mastodont.cat/@paupitarch

11/8/2022 9:04:45,James St. Andre,@StAndre@mas.to,"Ming-Qing fiction, Republican Era fiction, translation studies",China,"Gender, literary studies, courtcase fiction, intellectual history, history of concepts, translation studies",,Yes,@JamesStAndre,https://mas.to/@StAndre

11/8/2022 9:49:42,Andi Schubert,@AndiSchubert@zirk.us,,"South Asia, Sri Lanka",History & Theory; Time & Temporalities; Identities & Identifications; Post-conflict Transitions ,,Yes,,https://zirk.us/@AndiSchubert

11/8/2022 12:19:46,jacenba,@jacenba@mas.to,"20th century, 21st century","Taiwan, Japan","Public communication, smart cities, urbanism, identity politics",,Yes,@jacenba,https://mas.to/@jacenba

11/8/2022 15:16:51,Shreesha,@shreesha@zirk.us,,South and Southeast Asia,Intellectual History,,Yes,,https://zirk.us/@shreesha

11/9/2022 2:44:05,Molly Silk,@SpaceSilk@astrodon.social,Contemporary China,China,"China in space, Chinese emerging tech, Chinese security and defense, Contemporary Chinese politics, Chinese foreign policy, US-China competition ","Doctoral Researcher of Chinese Space Policy, University of Manchester",Yes,@SpaceSilk,https://astrodon.social/@SpaceSilk

11/9/2022 3:36:55,Tina Lu,@tinalu@zirk.us,Early Modern,China,"Literature, intellectual history, history of science ","Jack of all trades, master of none",Yes,,https://zirk.us/@tinalu

11/9/2022 17:13:52,Professor Anne-Marie Brady,@Anne_MarieBrady@mastodon.nz,Modern China,China,CCP domestic and foreign policy,,Yes,@Anne_MarieBrady,https://mastodon.nz/@Anne_MarieBrady

11/9/2022 19:48:46,Sango Mahanty,@sangomahanty@aus.social,Contemporary,"Cambodia, Vietnam, mainland SE Asia","political ecology, critical agrarian studies, land, forests, toxicity",Prof at ANU,Yes,@sangomahanty,https://aus.social/@sangomahanty

